,Artists,Songs
0,Glass Animals,Heat Waves
1,The Kid LAROI & Justin Bieber,Stay
2,Kodak Black,Super Gremlin
3,GAYLE,abcdefu
4,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",We Don't Talk About Bruno
5,Justin Bieber,Ghost
6,Adele,Easy On Me
7,Imagine Dragons X JID,Enemy
8,Lil Nas X,Thats What I Want
9,Ed Sheeran,Bad Habits
10,Ed Sheeran,Shivers
11,Doja Cat,Woman
12,Elton John & Dua Lipa,Cold Heart (PNAU Remix)
13,Latto,Big Energy
14,Megan Thee Stallion & Dua Lipa,Sweetest Pie
15,Doja Cat,Need To Know
16,The Weeknd & Ariana Grande,Save Your Tears
17,Lil Durk,Ahhh Ha
18,Dua Lipa,Levitating
19,Gunna & Future Featuring Young Thug,Pushin P
20,Lil Nas X & Jack Harlow,Industry Baby
21,Cody Johnson,'Til You Can't
22,Post Malone & The Weeknd,One Right Now
23,Lil Durk Featuring Gunna,What Happened To Virgil
24,SZA,I Hate U
25,Lil Durk Featuring Future,Petty Too
26,Muni Long,Hrs And Hrs
27,Becky G X Karol G,MAMIII
28,Jessica Darrow,Surface Pressure
29,Lil Durk,No Interviews
30,Doja Cat & The Weeknd,You Right
31,Olivia Rodrigo,Good 4 U
32,Charlie Puth,Light Switch
33,Lil Durk,Golden Child
34,Jordan Davis Featuring Luke Bryan,Buy Dirt
35,Walker Hayes,Fancy Like
36,Kevin Gates Featuring Juicy J,Thinking With My Dick
37,Lauren Spencer-Smith,Fingers Crossed
38,Camila Cabello Featuring Ed Sheeran,Bam Bam
39,Russ Featuring Ktlyn,Handsomer
40,CKay,Love Nwantiti (Ah Ah Ah)
41,"Dierks Bentley, Breland & HARDY",Beers On Me
42,Lil Durk Featuring Morgan Wallen,Broadway Girls
43,Morgan Wallen,Sand In My Boots
44,Luke Combs,Doin' This
45,Nirvana,Something In The Way
46,Drake Featuring 21 Savage & Project Pat,Knife Talk
47,Lil Durk,Barbarian
48,Dove Cameron,Boyfriend
49,Parker McCollum,To Be Loved By You
50,Cole Swindell / Lainey Wilson,Never Say Never
51,Walker Hayes,AA
52,Lil Durk,Shootout @ My Crib
53,Em Beihold,Numb Little Bug
54,Lil Durk,Started From
55,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home)
56,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal
57,Lil Durk,Headtaps
58,Tate McRae,She's All I Wanna Be
59,Lil Durk,Smoking & Thinking
60,Sam Hunt,23
61,Thomas Rhett,Slow Down Summer
62,Fireboy DML & Ed Sheeran,Peru
63,Tiesto & Ava Max,The Motto
64,Lil Durk,Grow Up/Keep It On Speaker
65,Nicki Minaj X Lil Baby,Do We Have A Problem?
66,Diane Guerrero & Stephanie Beatriz,What Else Can I Do?
67,Jack Harlow,Nail Tech
68,Lil Durk,Blocklist
69,"Nardo Wick, Lil Baby & Future",Me Or Sum
70,Eric Church,Heart On Fire
71,Sebastian Yatra,Dos Oruguitas
72,Lil Durk Featuring Summer Walker,Difference Is
73,Maren Morris,Circles Around This Town
74,Tyga X Doja Cat,Freaky Deaky
75,Miranda Lambert,If I Was A Cowboy
76,Yung Bleu & Kehlani,Beautiful Lies
77,ERNEST Featuring Morgan Wallen,Flower Shops
78,The Weeknd,Sacrifice
79,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window
80,JNR CHOI & Sam Tompkins,To The Moon!
81,Gunna Featuring Drake,P Power
82,The Chainsmokers,High
83,Ari Lennox,Pressure
84,Lil Durk,Federal Nightmares
85,Gucci Mane Featuring Lil Durk,Rumors
86,Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl
87,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown
88,The Walters,I Love You So
89,Gunna,Banking On Me
90,HARDY,Give Heaven Some Hell
91,Labrinth & Zendaya,I'm Tired
92,Imagine Dragons,Bones
93,Lil Shordie Scott,Rocking A Cardigan In Atlanta
94,Lil Durk,Pissed Me Off
95,Rod Wave,By Your Side
96,Stephanie Beatriz,Waiting On A Miracle
97,YoungBoy Never Broke Again,I Hate YoungBoy
98,"Fivio Foreign, Kanye West & Alicia Keys",City Of Gods
99,Saweetie Featuring H.E.R.,Closer
